USA,USSR/Russia
6,null
11,null
32,null
110,null
235,null
369,5
640,25
1005,50
1436,120
2063,150
3057,200
4618,426
6444,660
9822,869
15468,1060
20434,1605
24126,2471
27387,3322
29459,4238
31056,5221
31982,6129
32040,7089
31233,8339
29224,9399
27342,10538
26662,11643
26956,13092
27912,14478
28999,15915
28965,17385
27826,19055
25579,21205
25722,23044
24826,25393
24605,27935
24304,30062
23464,32049
23708,33952
24099,35804
24357,37431
24237,39197
24401,45000
24344,43000
23586,41000
22380,39000
21004,37000
17287,35000
14747,33000
13076,31000
12555,29000
12144,27000
11009,25000
10950,24000
10871,23000
10824,22000
10577,21000
10527,20000
10475,19000
10421,18000
10358,18000
10295,17000
10104,16000
