female,,male,
161.2,51.6,174.0,65.6
167.5,59.0,175.3,71.8
159.5,49.2,193.5,80.7
157.0,63.0,186.5,72.6
155.8,53.6,187.2,78.8
170.0,59.0,181.5,74.8
159.1,47.6,184.0,86.4
166.0,69.8,184.5,78.4
176.2,66.8,175.0,62.0
160.2,75.2,184.0,81.6
172.5,55.2,180.0,76.6
170.9,54.2,177.8,83.6
172.9,62.5,192.0,90.0
153.4,42.0,176.0,74.6
160.0,50.0,174.0,71.0
147.2,49.8,184.0,79.6
168.2,49.2,192.7,93.8
175.0,73.2,171.5,70.0
157.0,47.8,173.0,72.4
167.6,68.8,176.0,85.9
159.5,50.6,176.0,78.8
175.0,82.5,180.5,77.8
166.8,57.2,172.7,66.2
176.5,87.8,176.0,86.4
170.2,72.8,173.5,81.8
174.0,54.5,178.0,89.6
173.0,59.8,180.3,82.8
179.9,67.3,180.3,76.4
170.5,67.8,164.5,63.2
160.0,47.0,173.0,60.9
154.4,46.2,183.5,74.8
162.0,55.0,175.5,70.0
176.5,83.0,188.0,72.4
160.0,54.4,189.2,84.1
152.0,45.8,172.8,69.1
162.1,53.6,170.0,59.5
170.0,73.2,182.0,67.2
160.2,52.1,170.0,61.3
161.3,67.9,177.8,68.6
166.4,56.6,184.2,80.1
168.9,62.3,186.7,87.8
163.8,58.5,171.4,84.7
167.6,54.5,172.7,73.4
160.0,50.2,175.3,72.1
161.3,60.3,180.3,82.6
167.6,58.3,182.9,88.7
165.1,56.2,188.0,84.1
160.0,50.2,177.2,94.1
170.0,72.9,172.1,74.9
157.5,59.8,167.0,59.1
167.6,61.0,169.5,75.6
160.7,69.1,174.0,86.2
163.2,55.9,172.7,75.3
152.4,46.5,182.2,87.1
157.5,54.3,164.1,55.2
168.3,54.8,163.0,57.0
180.3,60.7,171.5,61.4
165.5,60.0,184.2,76.8
165.0,62.0,174.0,86.8
164.5,60.3,174.0,72.2
156.0,52.7,177.0,71.6
160.0,74.3,186.0,84.8
163.0,62.0,167.0,68.2
165.7,73.1,171.8,66.1
161.0,80.0,182.0,72.0
162.0,54.7,167.0,64.6
166.0,53.2,177.8,74.8
174.0,75.7,164.5,70.0
172.7,61.1,192.0,101.6
167.6,55.7,175.5,63.2
151.1,48.7,171.2,79.1
164.5,52.3,181.6,78.9
163.5,50.0,167.4,67.7
152.0,59.3,181.1,66.0
169.0,62.5,177.0,68.2
164.0,55.7,174.5,63.9
161.2,54.8,177.5,72.0
155.0,45.9,170.5,56.8
170.0,70.6,182.4,74.5
176.2,67.2,197.1,90.9
170.0,69.4,180.1,93.0
162.5,58.2,175.5,80.9
170.3,64.8,180.6,72.7
164.1,71.6,184.4,68.0
169.5,52.8,175.5,70.9
163.2,59.8,180.6,72.5
154.5,49.0,177.0,72.5
159.8,50.0,177.1,83.4
173.2,69.2,181.6,75.5
170.0,55.9,176.5,73.0
161.4,63.4,175.0,70.2
169.0,58.2,174.0,73.4
166.2,58.6,165.1,70.5
159.4,45.7,177.0,68.9
162.5,52.2,192.0,102.3
159.0,48.6,176.5,68.4
162.8,57.8,169.4,65.9
159.0,55.6,182.1,75.7
179.8,66.8,179.8,84.5
162.9,59.4,175.3,87.7
161.0,53.6,184.9,86.4
151.1,73.2,177.3,73.2
168.2,53.4,167.4,53.9
168.9,69.0,178.1,72.0
173.2,58.4,168.9,55.5
171.8,56.2,157.2,58.4
178.0,70.6,180.3,83.2
164.3,59.8,170.2,72.7
163.0,72.0,177.8,64.1
168.5,65.2,172.7,72.3
166.8,56.6,165.1,65.0
172.7,105.2,186.7,86.4
